Tg,Ta,Va,MRT,LOT,MOT
28.995,28.731,0.028589511,30.11877328549849,29.424886642749247,
28.997,28.731,0.000239328,30.131343123055274,29.431171561527638,
28.997,28.731,0.000161554,30.131343123055274,29.431171561527638,
28.997,28.732,0.000161554,30.126044764169933,29.429022382084966,
28.997,28.732,0.000161554,30.126044764169933,29.429022382084966,
28.997,28.732,0.035103686,30.126044764169933,29.429022382084966,
28.998,28.732,0.048456523,30.13233193883184,29.43216596941592,
28.998,28.734,0.004775156,30.121740043373563,29.427870021686783,
28.998,28.734,8.38e-05,30.121740043373563,29.427870021686783,
28.998,28.734,8.38e-05,30.121740043373563,29.427870021686783,
29.0,28.734,0.000161554,30.134309570823575,29.43415478541179,
29.0,28.735,0.061948922,29.190029270024013,28.962514635012006,
29.0,28.735,0.052972888,29.17300918034516,28.95400459017258,
29.0,28.735,0.057100634,29.1809690672211,28.95798453361055,
29.001,28.735,0.046081511,30.135298387038745,29.435149193519372,
29.001,28.737,0.048611398,30.12470680255251,29.430853401276252,
29.001,28.737,0.030968136,30.12470680255251,29.430853401276252,
29.001,28.737,0.00389406,30.12470680255251,29.430853401276252,
29.003,28.737,0.000161554,30.137276019907688,29.43713800995384,
29.003,28.738,0.000161554,30.13197797212007,29.434988986060034,
29.003,28.738,8.38e-05,30.13197797212007,29.434988986060034,
29.003,28.738,8.38e-05,30.13197797212007,29.434988986060034,
29.004,28.738,0.000161554,30.138264836561518,29.43813241828076,
29.004,28.74,0.007884326,30.127673563035273,29.433836781517634,
29.004,28.74,0.034380073,30.127673563035273,29.433836781517634,
29.004,28.74,0.041459179,30.127673563035273,29.433836781517634,
29.006,28.74,0.050134232,29.174011203665827,28.95700560183291,
29.006,28.742,0.05227619,29.176984151692636,28.95949207584632,
29.006,28.742,0.038514387,30.129651404081244,29.435825702040624,
29.006,28.742,0.045048747,30.129651404081244,29.435825702040624,
29.008,28.742,0.050521361,29.176784419662,28.959392209831,
29.008,28.743,0.033036099,30.136922316080415,29.439961158040205,
29.008,28.743,0.048921143,30.136922316080415,29.439961158040205,
29.008,28.743,0.054495161,29.18395874565374,28.963479372826868,
29.009,28.743,0.05170848,29.180149241785102,28.96157462089255,
29.009,28.745,0.052431015,29.18028245478871,28.962641227394357,
29.009,28.745,0.061149604,29.196828038452225,28.970914019226115,
29.009,28.745,0.072180722,29.21646011986917,28.980730059934587,
29.011,28.745,0.072335294,29.22029418924552,28.982647094622763,
29.011,28.746,0.071691233,29.218393426536522,28.98219671326826,
29.011,28.746,0.074241519,29.222784414335933,28.984392207167964,
29.011,28.746,0.082404096,29.236447642510598,28.991223821255296,
29.012,28.746,0.075194522,29.226212013333054,28.986106006666525,
29.012,28.748,0.070918315,29.217271529824984,28.982635764912494,
29.012,28.748,0.080499109,29.233469223846555,28.99073461192328,
29.012,28.748,0.081760551,29.235542731494093,28.99177136574705,
29.014,28.748,0.077950097,29.23287865314444,28.990439326572222,
29.014,28.748,0.071227488,29.221360881034684,28.984680440517344,
29.014,28.749,0.084128635,29.242256802051884,28.99562840102594,
29.015,28.749,0.067027229,29.214940467464146,28.98197023373207,
29.015,28.749,0.049721279,30.149141829400946,29.44907091470047,
29.015,28.749,0.101387083,29.27122301397185,29.010111506985922,
29.015,28.751,0.113719136,29.28740562996154,29.019202814980773,
29.017,28.751,0.080730812,29.24051880116332,28.99575940058166,
29.017,28.751,0.091976221,29.258688850933993,29.004844425467,
29.017,28.751,0.103751602,29.27678205351549,29.013891026757747,
29.017,28.751,0.11048306,29.28675417115835,29.018877085579177,
29.018,28.752,0.107631593,29.28355797656235,29.017778988281172,
29.018,28.752,0.087937241,29.25326889612137,29.002634448060682,
29.018,28.752,0.10573028,29.280736979777828,29.01636848988891,
29.02,28.752,0.093879508,29.266503789117678,29.009251894558837,
29.02,28.754,0.070918315,29.22680860912584,28.990404304562922,
29.02,28.754,0.049566418,30.15408592290197,29.454042961450988,
29.02,28.754,0.062103622,29.210993169590836,28.98249658479542,
29.022,28.754,0.065996272,29.221565454230984,28.987782727115494,
